ln_earn,female,edyears
5.6524892,0,13
5.9914646,0,16
7.1785455,0,13
4.9416423,1,16
6.5117455,1,14
7.130899,1,16
6.6846118,0,16
6.9450512,1,18
7.2050037,0,16
5.857933,1,12
6.2146082,0,12
6.5792513,0,16
7.2470808,1,18
6.3969297,1,14
6.3969297,0,12
6.9077554,1,16
5.8861041,1,14
6.5117455,0,12
5.8861041,1,14
7.3132205,1,16
4.3820267,0,9
6.6200733,0,14
7.2737865,0,12
6.6200733,0,12
6.7021446,1,18
7.0833879,0,18
2.9957323,0,11
5.6629605,0,13
6.7844572,1,20
7.7441368,1,20
6.8669333,0,13
7.5616417,1,18
7.8240461,1,18
6.1737862,0,13
5.9914646,0,12
7.59589,0,13
6.0867748,1,14
6.8276291,1,16
5.570251,1,13
7.8240461,0,13
6.568078,0,12
7.0836396,0,19
6.3969297,0,12
7.7604671,0,12
7.0508509,1,12
6.253829,0,12
7.2605224,1,18
6.1758671,0,19
7.9672804,0,18
5.6645565,0,16
6.3969297,1,9
6.3868794,0,12
7.7097569,1,16
7.9672804,0,18
7.0836396,1,16
5.0106354,1,11
4.1431346,0,12
7.2331738,1,16
6.6200733,1,18
6.3835068,1,16
6.4614682,1,13
6.5792513,0,12
6.2878585,1,16
5.6283402,1,9
7.1754899,0,12
7.0210838,0,16
6.2633982,1,16
6.7979403,1,13
6.6450911,1,13
7.7437034,0,19
6.9638424,0,12
7.2875605,1,14
7.2689199,0,13
6.3969297,0,2.5
5.480639,1,14
7.3993979,0,16
7.9672804,0,20
5.857933,1,16
5.7960577,1,12
6.5510802,0,14
7.1507015,0,14
7.5616779,1,18
7.495542,0,14
6.3767271,1,16
6.868526,0,13
7.2612252,0,13
5.7268476,1,18
6.9077554,1,16
6.3969297,1,12
7.3382382,0,16
7.6568103,1,20
6.9077554,1,16
3.9120231,0,13
7.0508509,0,11
6.4614682,0,5.5
6.4068799,0,13
7.2739944,0,19
7.0673199,0,12
6.9077554,0,13
6.9565454,0,13
6.0637851,1,14
6.7178049,0,16
5.7037826,0,14
6.3969297,0,12
6.3969297,1,16
6.3279366,0,12
6.5395861,1,14
7.495542,1,16
6.6656837,1,14
6.3935909,1,12
6.6200733,1,12
6.6941781,0,16
5.8861041,0,14
5.480639,0,12
6.7627296,1,16
5.572154,1,13
7.0166097,1,18
