earnings,college,female
285,0,0
400,1,0
1311,0,0
140,1,1
673,0,1
1250,1,1
800,1,0
1038,1,1
1346.15,1,0
350,0,1
500,0,0
720,1,0
1404,1,1
600,0,1
600,0,0
1000,1,1
360,0,1
673,0,0
360,0,1
1500,1,1
80,0,0
750,0,0
1442,0,0
750,0,0
814.15002,1,1
1192,1,0
20,0,0
288,0,0
884,1,1
2308,1,1
960,0,0
1923,1,1
2500,1,1
480,0,0
400,0,0
1990,0,0
440,0,1
923,1,1
262.5,0,1
2500,0,0
712,0,0
1192.3,1,0
600,0,0
2346,0,0
1153.84,0,1
520,0,0
1423,1,1
481,1,0
2885,1,0
288.45999,1,0
600,0,1
594,0,0
2230,1,1
2885,1,0
1192.3,1,1
150,0,1
63,0,0
1384.61,1,1
750,1,1
592,1,1
640,0,1
720,0,0
538,1,1
278.20001,0,1
1307,0,0
1120,1,0
525,1,1
896,0,1
769,0,1
2307,1,0
1057.6899,0,0
1462,0,1
1435,0,0
600,0,0
240,0,1
1635,1,0
2885,1,0
350,1,1
329,0,1
700,0,0
1275,0,0
1923.0699,1,1
1800,0,0
588,1,1
961.53003,0,0
1424,0,0
307,1,1
1000,1,1
600,0,1
1538,1,0
2115,1,1
1000,1,1
50,0,0
1153.84,0,0
640,0,0
606,0,0
1442.3,1,0
1173,0,0
1000,0,0
1050,0,0
430,0,1
827,1,0
300,0,0
600,0,0
600,1,1
560,0,0
692,0,1
1800,1,1
785,0,1
598,0,1
750,0,1
807.69,1,0
360,0,0
240,0,0
865,1,1
263,0,1
1115,1,1
931.20001,0,0
575.59998,0,1
198,0,0
820,0,0
365.38,1,0
920,1,0
830.76001,1,1
230.75999,0,0
1148,1,1
792,0,0
1153.84,1,0
1080,0,1
1154,1,0
600,1,0
93,0,1
2884,1,0
640,0,0
1712,1,1
741,0,1
480,0,1
923.07001,1,0
600,1,0
2000,0,0
500,0,1
145,0,0
1000,0,0
1000,0,0
673.07001,0,0
400,0,0
2403.8401,1,1
408,0,1
1900,0,0
167,0,1
730,0,0
865,1,1
1000,0,1
400,0,0
2154,1,1
923,0,0
320,0,1
711.53003,0,1
1250,1,0
1180,0,0
640,0,0
1058,0,0
270,0,1
1153,0,1
557,0,0
769.22998,0,0
600,0,0
480,0,0
552,0,1
1307,1,1
200,1,0
942,1,1
260,1,1
788,0,1
461.53,0,1
2300,0,0
150,0,1
451.92001,0,0
2115.3799,0,0
669,1,0
656,0,1
673,1,0
1154,1,0
166,0,1
1000,0,0
480,0,1
600,0,0
360,1,0
360,0,0
759,0,1
600,0,0
360,0,1
692.29999,1,0
923,1,0
1154,0,1
923,1,1
2558,1,0
1250,1,1
126,0,1
560,0,0
120,0,0
1384.61,0,0
1192,0,1
900,1,1
288,0,0
1096,1,0
480,0,1
1635,1,0
1000,0,0
2274,1,1
692,1,0
192.3,1,1
2884.6101,1,1
2884.6101,1,0
534,0,0
2885,0,0
1140,1,0
520,0,1
450,0,1
54,0,0
288,0,0
435,0,0
1200,1,1
1038.46,0,0
315,1,1
280,0,1
800,0,0
673.07001,1,0
1269,0,0
2885,1,0
880,0,0
1010,0,0
1809,1,0
1154,1,1
961,1,0
420,0,0
575,1,1
800,1,1
810,1,1
256.25,0,1
1240,1,1
315,0,0
730,1,0
2884.6101,1,0
840,0,0
280,0,1
550,0,1
100,0,1
324,0,1
784.60999,0,1
222,0,1
400,1,1
1730.76,0,0
224,0,1
692,1,0
250,0,1
2885,1,1
1576.92,1,0
315,0,0
2884.6101,1,0
1000,0,1
1720,0,0
600,1,1
906,0,1
525,0,0
692,1,1
2600,1,0
369.23001,0,1
769,0,1
112,0,1
724,1,1
375,1,1
2654,1,0
2846,1,1
300,0,1
840,1,1
995,0,1
280,0,1
550,0,1
700,0,0
2212,1,0
600,0,0
128,0,1
1107,1,1
600,0,0
1153,1,1
738,0,1
1153,1,0
576,0,1
1442.3,0,0
692,0,0
560,0,1
912,0,1
2884.6101,1,1
1615,1,0
1100,0,0
608,0,1
2212,1,0
885,1,1
878,1,0
440,0,1
360,0,1
1120,1,0
52,1,1
102,0,0
1444,0,0
2423.0701,1,0
730,1,1
615,1,0
480,1,0
1250,1,1
192.3,0,1
1384.61,0,0
360,0,0
807.69,1,0
750,0,0
440,0,0
1520,0,1
769,0,0
769,0,1
1055,0,0
769,1,1
285,0,1
1600,0,0
865,1,0
700,1,1
189,0,0
600,0,0
1769,1,0
180,0,1
600,0,0
769.22998,0,0
510,1,1
800,0,1
640,0,0
1731,1,1
1058,1,0
247.5,0,1
1054.8,1,1
1500,1,0
580,0,0
800,1,0
400,0,0
360,1,1
262.5,0,1
2885,1,0
2884.6101,0,0
1653,0,0
1192.3,1,0
1346,1,0
1269,1,1
1200,1,1
500,0,0
1560,0,0
538,0,1
228,0,1
880,1,0
700,0,1
430,0,1
590,0,1
692,0,1
1000,0,0
144,0,1
157.5,0,1
738.46002,1,1
868,0,1
1009.61,1,0
1150,0,1
490,0,0
520,0,1
961,0,1
1153,1,1
540,0,0
845,0,0
260,1,1
800,0,0
1250,1,1
1025.7,1,0
115.38,0,1
150,0,0
2407,0,0
480,0,1
2885,1,0
720,1,1
180,0,0
1442,1,1
1346,1,0
2884.6101,1,0
461.53,0,1
1080,1,1
1380,0,0
1538.46,1,1
485.60001,0,0
2230,1,1
1730.76,0,0
275,0,1
961.53003,1,1
584.5,0,1
360,0,1
2115,1,0
2538,1,1
576,0,0
600,1,1
131,0,1
418,0,1
600,1,1
770,0,1
865.38,1,1
1384.61,0,0
158,0,0
288,0,1
442,0,1
600,0,0
646,0,0
2120,0,0
330,0,0
1572,0,0
769,0,1
633,0,0
900,1,0
87,0,1
1278.1899,1,0
1260,1,1
325,1,1
2885,1,1
817,0,1
423.07001,0,1
808,1,0
600,1,1
1923,1,1
759,0,1
2885,0,0
560,1,1
1154,0,0
300,1,0
405.12,0,1
1538.46,1,1
200,0,1
737.59998,0,0
423,1,0
1153.84,1,1
1442,1,1
2000,1,0
350,0,1
730,0,0
720,0,0
520,0,1
375,0,1
105,0,0
428.79999,0,1
903,1,1
807,0,0
150,0,1
2307,1,0
1600,1,0
2884.6101,0,0
88,1,1
336,1,1
1538.46,0,0
1461,0,1
2884.6101,1,0
169,0,1
680,0,0
1154,0,0
387.5,0,1
400,1,1
378,0,0
1500,1,1
1346,0,0
1270,0,0
700,0,0
425,0,1
1977.5,1,1
44,0,1
525,0,1
600,0,1
550,0,0
1200,0,0
992,0,0
1154,0,0
1365.38,0,1
670,0,0
2884.6101,1,1
420,0,1
1791.73,1,0
1014,0,1
960,1,0
808,1,0
400,1,1
256,0,1
860,0,0
700,0,1
1730.76,1,1
1269.23,0,0
192,0,0
300,0,0
999,0,1
500,0,1
1000,1,1
175,0,1
68,0,1
325,0,1
400,0,0
1485,0,0
800,0,0
760,0,0
1731,0,1
769,1,0
512,1,0
1900,0,0
673,0,0
1577,1,0
884,0,1
270,0,1
538,0,0
570,0,1
2692,1,0
200,0,1
840,1,1
711,1,1
1615.38,0,0
380,0,1
270,0,1
2365.3799,1,0
1712,0,1
961,0,0
108,0,1
1731,1,0
100,1,0
673.59998,0,1
380,0,1
914.5,0,0
737,1,1
1538,1,0
462,1,1
600,0,0
1000,1,0
1684.61,0,0
1577,1,1
730,0,1
1000,0,0
480,0,0
1442,1,0
750,0,0
972,1,1
2884.6101,1,0
